tags,p_id,p_rate,link,open_day,price,address,p_name,category,open_time
,c714,0/5,https://place.map.kakao.com/14585864#comment,,,서울 서대문구 증가로 134 2층 (우)03665,만화카페나무,c,만화방
,c72,0/5,https://place.map.kakao.com/20523805#comment,,,서울 양천구 목동중앙북로7길 10 (우)07947,만화속세상,c,만화방
,c73,0/5,https://place.map.kakao.com/27512014#comment,,,서울 서대문구 명물길 26 (우)03777,로빈스에그만화카페,c,만화방
만화 커피와 함께 편히쉬는 곳,c74,0/5,https://place.map.kakao.com/1317943224#comment,,,서울 관악구 신림동길 20 지하1층 (우)08707,달꿈만화카페,c,만화방
,c75,0/5,https://place.map.kakao.com/20531775#comment,,,서울 양천구 중앙로 274 3층 (우)08082,책사랑만화카페 신정네거리역점,c,만화방
,c76,0/5,https://place.map.kakao.com/1121636797#comment,,,서울 마포구 신촌로 76 3층 (우)04057,만화카페휴 신촌점,c,만화방
만화카페,c81,0/5,https://place.map.kakao.com/1364134193#comment,,,서울 서초구 방배로 87 지하 (우)06686,코믹베어,c,만화방
,c810,0/5,https://place.map.kakao.com/754162217#comment,,,서울 동대문구 경희대로 17 (우)02454,툰케이만화카페,c,만화방
,c812,0/5,https://place.map.kakao.com/24943436#comment,,,서울 송파구 백제고분로7길 52-5 지하 (우)05559,공간만화카페,c,만화방
,c82,0/5,https://place.map.kakao.com/1427437738#comment,,,서울 관악구 난곡로 343 2층 (우)08767,글모아만화카페 신대방역점,c,만화방
,c84,0/5,https://place.map.kakao.com/27295098#comment,,,서울 은평구 진흥로 158 지하1층 (우)03375,까치만화,c,만화방
,c89,0/5,https://place.map.kakao.com/1080486745#comment,,,서울 동작구 국사봉1길 31 (우)07041,카페만화궁,c,만화방
,c91,0/5,https://place.map.kakao.com/24635862#comment,,,서울 강동구 천호대로157길 38 3층 (우)05335,만화보이,c,만화방
,c912,0/5,https://place.map.kakao.com/24840806#comment,,,서울 관악구 남부순환로 1491 (우)08761,놀이터만화,c,만화방
,c92,0/5,https://place.map.kakao.com/918962838#comment,,,서울 관악구 신림로 107 2층 (우)08813,방콕만화카페,c,만화방
,c93,0/5,https://place.map.kakao.com/26777399#comment,매일 11:00 ~ 23:00,,서울 성북구 고려대로24길 44 (우)02855,만화카페딩굴,c,만화방
,c97,0/5,https://place.map.kakao.com/26554486#comment,,,서울 강서구 화곡로 130 동원빌딩 3층 (우)07718,땡땡이치는만화카페,c,만화방
도서대여 및 만화카페,c99,0/5,https://place.map.kakao.com/26325912#comment,,,서울 광진구 용마산로 53 3층 (우)04923,만화카페사랑애,c,만화방
